Algorithm;Size;Time(ms)
BubbleSort;1000;4,192
MergeSort;1000;1,171
QuickSort;1000;1,038
BubbleSort;2000;2,317
MergeSort;2000;0,269
QuickSort;2000;0,149
BubbleSort;3000;12,156
MergeSort;3000;0,331
QuickSort;3000;0,262
BubbleSort;4000;14,928
MergeSort;4000;0,428
QuickSort;4000;0,239
BubbleSort;5000;14,496
MergeSort;5000;0,572
QuickSort;5000;0,306
BubbleSort;6000;25,175
MergeSort;6000;0,666
QuickSort;6000;0,396
BubbleSort;7000;34,732
MergeSort;7000;0,810
QuickSort;7000;0,398
BubbleSort;8000;54,009
MergeSort;8000;0,873
QuickSort;8000;0,482
BubbleSort;9000;67,751
MergeSort;9000;1,009
QuickSort;9000;0,542
BubbleSort;10000;94,428
MergeSort;10000;1,155
QuickSort;10000;0,582
BubbleSort;11000;126,774
MergeSort;11000;1,313
QuickSort;11000;0,665
BubbleSort;12000;152,762
MergeSort;12000;1,318
QuickSort;12000;0,732
BubbleSort;13000;169,853
MergeSort;13000;1,477
QuickSort;13000;0,803
BubbleSort;14000;197,278
MergeSort;14000;1,719
QuickSort;14000;0,853
BubbleSort;15000;238,017
MergeSort;15000;1,721
QuickSort;15000;0,933
BubbleSort;16000;268,192
MergeSort;16000;6,058
QuickSort;16000;1,116
BubbleSort;17000;309,593
MergeSort;17000;1,796
QuickSort;17000;1,065
BubbleSort;18000;361,213
MergeSort;18000;1,872
QuickSort;18000;1,135
BubbleSort;19000;394,790
MergeSort;19000;2,486
QuickSort;19000;1,366
BubbleSort;20000;452,081
MergeSort;20000;2,052
QuickSort;20000;1,228
BubbleSort;20000;452,138
MergeSort;20000;2,033
QuickSort;20000;1,322
BubbleSort;20000;446,053
MergeSort;20000;2,924
QuickSort;20000;1,251
BubbleSort;20000;446,442
MergeSort;20000;2,056
QuickSort;20000;1,298
BubbleSort;20000;457,915
MergeSort;20000;2,077
QuickSort;20000;1,293
